ASX Code,Company Name,Sub-Industry
BOQPE,Bank of Queensland Limited Cap Note 3-Bbsw+3.75% Perp non-CUM Red T-08-24,Banks
BOQ,Bank of Queensland Limited Ordinary,Banks
BOQPF,Bank of Queensland Limited Cap Note 3-Bbsw+3.80% Perp non-CUM Red T-05-27,Banks
BOQPG,Bank of Queensland Limited Cap Note 3-Bbsw+3.40% Perp non-CUM Red T-12-28,Banks
BP8O,BPH Global Ltd $0.01 Option Expiring 07-Jul-2027,Biotechnology & Medical Research
BOT,Botanix Pharmaceuticals Ltd Ordinary,Pharmaceuticals
BP8,BPH Global Ltd Ordinary,Biotechnology & Medical Research
BPH,BPH Energy Ltd Ordinary,Biotechnology & Medical Research
BPHOB,BPH Energy Ltd $0.03 Option Expiring 30-Sep-2024,Biotechnology & Medical Research
BPMO,BPM Minerals Limited $0.25 Option Expiring 11-Sep-2025,Gold
BPM,BPM Minerals Limited Ordinary,Gold
BPMOA,BPM Minerals Limited $0.28 Option Expiring 20-Jun-2024,Gold
BPP,Babylon Pump & Power Limited Ordinary,Business Support Services
BRE,Brazilian Rare Earths Limited Ordinary,Precious Metals & Minerals
BPT,Beach Energy Limited Ordinary,Oil & Gas Exploration and Production
BRG,Breville Group Limited Ordinary,"Appliances, Tools & Housewares"
BRI,Big River Industries Limited Ordinary,Forest & Wood Products
BRK,Brookside Energy Limited Ordinary,Oil & Gas Exploration and Production
BRL,Bathurst Resources Limited Ordinary,Coal
BRN,Brainchip Holdings Ltd Ordinary,Software
BRU,Buru Energy Limited Ordinary,Oil & Gas Exploration and Production
BRX,Belararox Limited Ordinary,Specialty Mining & Metals
BRXOA,Belararox Limited $0.66 Option Expiring 13-Jul-2026,Specialty Mining & Metals
BRXO,Belararox Limited $0.95 Option Expiring 06-Jun-2024,Specialty Mining & Metals
BSAO,BSA Limited $0.80 Option Expiring 30-Apr-2025,Construction & Engineering
BSA,BSA Limited Ordinary,Construction & Engineering
BSE,Base Resources Limited Ordinary,Specialty Mining & Metals
BSL,Bluescope Steel Limited Ordinary,Steel
BSN,Basin Energy Limited Ordinary,Uranium
BSX,Blackstone Minerals Limited Ordinary,Integrated  Mining
BTE,Botala Energy Ltd Ordinary,Oil & Gas Exploration and Production
BTC,BTC Health Ltd Ordinary,Biotechnology & Medical Research
BTH,Bigtincan Holdings Limited Ordinary,Software
BTI,Bailador Technology Investments Limited Ordinary,Investment Management & Fund Operators
BTN,Butn Limited Ordinary,Corporate Financial Services
BTR,Brightstar Resources Limited Ordinary,Gold
BUGG,Global X Cybersecurity ETF,N/A
BUB,Bubs Australia Limited Ordinary,Food Processing
BUR,Burley Minerals Ltd Ordinary,Integrated  Mining
BUS,Bubalus Resources Limited Ordinary,Precious Metals & Minerals
BUX,Buxton Resources Limited Ordinary,Integrated  Mining
BUYO,Bounty Oil & Gas NL $0.03 Option Expiring 30-Nov-2025,Oil & Gas Exploration and Production
BUY,Bounty Oil & Gas NL Ordinary,Oil & Gas Exploration and Production
BVS,Bravura Solutions Limited Ordinary,Software
BWF,Blackwall Limited Ordinary,Investment Management & Fund Operators
BVR,Bellavista Resources Ltd Ordinary,Integrated  Mining
BWP,BWP Trust Ordinary Units,Commercial REITs
BWX,BWX Limited Ordinary,Personal Products
BXB,Brambles Limited Ordinary,Non-Paper Containers & Packaging
BYE,Byron Energy Limited Ordinary,Oil & Gas Exploration and Production
BXN,Bioxyne Limited Ordinary,Biotechnology & Medical Research
BYHO,Bryah Resources Limited $0.04 Option Expiring 01-Dec-2025,Integrated  Mining
BYH,Bryah Resources Limited Ordinary,Integrated  Mining
C1X,Cosmos Exploration Limited Ordinary,Specialty Mining & Metals
C29,C29 Metals Limited Ordinary,Integrated  Mining
C2FHA,Centuria Funds Management Limited Bond 3-Bbsw+4.25% 20-04-26 QLY SEC Red,N/A
C79,Chrysos Corporation Limited Ordinary,Mining Support Services & Equipment
C7A,Clara Resources Australia Ltd Ordinary,Integrated  Mining
CAE,Cannindah Resources Limited Ordinary,Integrated  Mining
CAA,Capral Limited Ordinary,Aluminum
CAF,Centrepoint Alliance Limited Ordinary,Investment Management & Fund Operators
CAG,Cape Range Ltd Ordinary,Software
CAI,Calidus Resources Limited Ordinary,Gold
CAIOA,Calidus Resources Limited $0.30 Option Expiring 27-Sep-2024,Gold
CAJ,Capitol Health Limited Ordinary,Healthcare Facilities & Services
CAM,Clime Capital Limited Ordinary,Investment Management & Fund Operators
CAMG,Clime Capital Limited Convert Bond 5.25% 30-11-25 QLY Red,Investment Management & Fund Operators
CAN,Cann Group Limited Ordinary,Healthcare Facilities & Services
CAQ,CAQ Holdings Limited Ordinary,Apparel & Accessories
CAR,Car Group Limited Ordinary,Online Services
CAT,Catapult Group International Ltd Ordinary,Software
CAV,Carnavale Resources Limited Ordinary,Integrated  Mining
CAV,Carnavale Resources Limited Ordinary,Integrated  Mining
CAV,Carnavale Resources Limited Ordinary,Integrated  Mining
CAY,Canyon Resources Limited Ordinary,Aluminum
CAZ,Cazaly Resources Limited Ordinary,Integrated  Mining
CBA,Commonwealth Bank of Australia. Ordinary,Banks
CBAPG,Commonwealth Bank of Australia. Cap Note 3-Bbsw+3.40% Perp non-CUM Red T-04-25,Banks
CBAPH,Commonwealth Bank of Australia. Cap Note 3-Bbsw+3.70% Perp non-CUM Red T-04-24,Banks
CBAPI,Commonwealth Bank of Australia. Cap Note 3-Bbsw+3.00% Perp non-CUM Red T-04-27,Banks
CBAPJ,Commonwealth Bank of Australia. Cap Note 3-Bbsw+2.75% Perp non-CUM Red T-10-26,Banks
CBAPL,Commonwealth Bank of Australia. Cap Note 3-Bbsw+2.85% Perp non-CUM Red T-06-28,Banks
CBAPK,Commonwealth Bank of Australia. Cap Note 3-Bbsw+2.75% Perp non-CUM Red T-06-29,Banks
CBAPM,Commonwealth Bank of Australia. Cap Note 3-Bbsw+3.00% Perp non-CUM Red T-06-30,Banks
CBE,Cobre Limited Ordinary,Integrated  Mining
CBH,Coolabah Metals Limited Ordinary,Specialty Mining & Metals
CBHO,Coolabah Metals Limited $0.20 Option Expiring 12-Dec-2025,Specialty Mining & Metals
CBL,Control Bionics Limited Ordinary,Advanced Medical Equipment & Technology
CBO,Cobram Estate Olives Limited Ordinary,Food Processing
CC9,Chariot Corporation Ltd Ordinary,Specialty Mining & Metals
CBY,Canterbury Resources Limited Ordinary,Specialty Mining & Metals
CCA,Change Financial Limited Ordinary,Software
CCG,Comms Group Ltd Ordinary,IT Services & Consulting
CCE,Carnegie Clean Energy Limited Ordinary,Electric Utilities
CCO,The Calmer Co International Limited Ordinary,Pharmaceuticals
CCM,Cadoux Limited Ordinary,Construction Materials
CCOOA,The Calmer Co International Limited $0.01 Option Expiring 30-Jun-2026,Pharmaceuticals
CCR,Credit Clear Limited Ordinary,Financial Technology (Fintech)
CCP,Credit Corp Group Limited Ordinary,Corporate Financial Services
CCV,Cash Converters International Ordinary,Other Specialty Retailers
CCZOA,Castillo Copper Limited $0.08 Option Expiring 31-Jul-2024,Specialty Mining & Metals
CCZ,Castillo Copper Limited Ordinary,Specialty Mining & Metals
CCX,City Chic Collective Limited Ordinary,Apparel & Accessories Retailers
CD1,CD Private Equity Fund I Ordinary Units,Investment Management & Fund Operators
CD3,CD Private Equity Fund III Ordinary Units,Investment Management & Fund Operators
CD2,CD Private Equity Fund II Ordinary Units,Investment Management & Fund Operators
CDA,Codan Limited Ordinary,Electronic Equipment & Parts
CDD,Cardno Limited Ordinary,Construction & Engineering
CDO,Cadence Opportunities Fund Limited Ordinary,Investment Management & Fund Operators
CDM,Cadence Capital Limited Ordinary,Investment Management & Fund Operators
CDP,Carindale Property Trust Units,Commercial REITs
CDR,Codrus Minerals Limited Ordinary,Gold
CDRO,Codrus Minerals Limited $0.12 Option Expiring 22-Sep-2024,Gold
CDT,Castle Minerals Limited Ordinary,Gold
CDTOA,Castle Minerals Limited $0.06 Option Expiring 31-Dec-2024,Gold
CDTOB,Castle Minerals Limited $0.02 Option Expiring 07-Jan-2025,Gold
CDXOA,Cardiex Limited $0.20 Option Expiring 30-Nov-2025,Advanced Medical Equipment & Technology
CDX,Cardiex Limited Ordinary,Advanced Medical Equipment & Technology
CE1,Calima Energy Limited Ordinary,Oil & Gas Exploration and Production
CEH,Coast Entertainment Holdings Limited Ordinary,Leisure & Recreation
CEL,Challenger Gold Limited Ordinary,Integrated  Mining
CEN,Contact Energy Limited Ordinary Foreign Exempt NZX,Electric Utilities
CETF,Vaneck FTSE China A50 ETF,N/A
CFLO,BetaShares Global Cash Flow Kings ETF,N/A
CF1,Complii Fintech Solutions Ltd Ordinary,Financial Technology (Fintech)
CFO,Cfoam Limited Ordinary,Commodity Chemicals
CG1,Carbonxt Group Limited Ordinary,Commodity Chemicals
CGFPC,Challenger Limited Cap Note 3-Bbsw+4.60% Perp non-CUM Red T-05-26,Life & Health Insurance
CGF,Challenger Limited Ordinary,Life & Health Insurance
CGFPD,Challenger Limited Cap Note 3-Bbsw+3.60% Perp non-CUM Red T-05-29,Life & Health Insurance
CGHE,Claremont Global Fund (Hedged) (Managed Fund) ETF,N/A
CGR,CGN Resources Limited Ordinary,Integrated  Mining
CGO,CPT Global Limited Ordinary,IT Services & Consulting
CGUN,Claremont Global Fund (Managed Fund) ETF,N/A
CGS,Cogstate Ltd Ordinary,Biotechnology & Medical Research
CHC,Charter Hall Group Stapled Securities US Prohibited,"Real Estate Rental, Devel & Operations"
CHK,Cohiba Minerals Limited Ordinary,Precious Metals & Minerals
CHKOB,Cohiba Minerals Limited $0.01 Option Expiring 30-Dec-2024,Precious Metals & Minerals
CHL,Camplify Holdings Limited Ordinary,Online Services
CHM,Chimeric Therapeutics Limited Ordinary,Biotechnology & Medical Research
CHN,Chalice Mining Limited Ordinary,Integrated  Mining
CHR,Charger Metals NL Ordinary,Integrated  Mining
CHW,Chilwa Minerals Ltd Ordinary,Mining Support Services & Equipment
CI1,Credit Intelligence Ltd Ordinary,Corporate Financial Services
CIA,Champion Iron Limited Ordinary,Steel
CIN,Carlton Investments Limited Ordinary,Investment Management & Fund Operators
CINPA,Carlton Investments Limited 7% Cumulative Preference,Investment Management & Fund Operators
CIP,Centuria Industrial Reit Ordinary Units,Commercial REITs
CKA,Cokal Limited Ordinary,Steel
CIW,Clime Investment Management Ltd Ordinary,Investment Management & Fund Operators
CIO,Connected IO Limited Ordinary,Communications & Networking
CKF,Collins Foods Limited Ordinary,Restaurants & Bars
CL8,Carly Holdings Limited Ordinary,"Passenger Transportation, Ground & Sea"
CL8O,Carly Holdings Limited $0.06 Option Expiring 31-Oct-2024,"Passenger Transportation, Ground & Sea"
CLB,Candy Club Holdings Limited Ordinary,Food Processing
CLA,Celsius Resources Limited Ordinary,Specialty Mining & Metals
CLDD,BetaShares Cloud Computing ETF,N/A
CLG,Close The Loop Ltd. Ordinary,Environmental Services & Equipment
CLE,Cyclone Metals Limited Ordinary,Integrated  Mining
CLNE,Vaneck Global Clean Energy ETF,N/A
CLU,Cluey Ltd Ordinary,Online Services
CLW,Charter Hall Long Wale Reit Units Stapled Securities,Commercial REITs
CLV,Clover Corporation Limited Ordinary,Food Processing
CLZ,Classic Minerals Ltd Ordinary,Gold
CLX,CTI Logistics Limited Ordinary,Ground Freight & Logistics
CMB,Cambium BIO Limited Ordinary,Biotechnology & Medical Research
CMD,Cassius Mining Limited Ordinary,Integrated  Mining
CMG,Critical Minerals Group Limited Ordinary,Uranium
CMM,Capricorn Metals Ltd Ordinary,Gold
CMO,Cosmo Metals Limited Ordinary,Specialty Mining & Metals
CMP,Compumedics Limited Ordinary,Advanced Medical Equipment & Technology
CMX,Chemx Materials Limited Ordinary,Aluminum
CMW,Cromwell Property Group Ordinary/Units Stapled Securities,"Real Estate Rental, Devel & Operations"
CMXO,Chemx Materials Limited $0.30 Option Expiring 11-Jul-2025,Aluminum
CNB,Carnaby Resources Limited Ordinary,Integrated  Mining
CNEW,Vaneck China New Economy ETF,N/A
CNI,Centuria Capital Group Ordinary/Units Stapled Securities,Investment Management & Fund Operators
CNJ,Conico Ltd Ordinary,Integrated  Mining
CNQ,Clean TEQ Water Limited Ordinary,Construction & Engineering
CNJO,Conico Ltd $0.03 Option Expiring 31-Dec-2026,Integrated  Mining
COB,Cobalt Blue Holdings Limited Ordinary,Specialty Mining & Metals
CNU,Chorus Limited Ordinary Foreign Exempt NZX,Integrated Telecommunications Services
COD,Coda Minerals Ltd Ordinary,Integrated  Mining
COF,Centuria Office Reit Ordinary Units,Commercial REITs
COE,Cooper Energy Limited Ordinary,Oil & Gas Exploration and Production
COG,COG Financial Services Limited Ordinary,Consumer Lending
COH,Cochlear Limited Ordinary,"Medical Equipment, Supplies & Dist'n"
COI,Comet Ridge Limited Ordinary,Oil & Gas Exploration and Production
COL,Coles Group Limited Ordinary,Food Retail & Distribution
COS,Cosol Limited Ordinary,Professional Information Services
COV,Cleo Diagnostics Ltd Ordinary,"Medical Equipment, Supplies & Dist'n"
COY,Coppermoly Limited Ordinary,Integrated  Mining
CPM,Cooper Metals Limited Ordinary,Integrated  Mining
CPMO,Cooper Metals Limited $0.25 Option Expiring 24-Nov-2026,Gold
CPN,Caspin Resources Limited Ordinary,Integrated  Mining
CPO,Culpeo Minerals Limited Ordinary,Specialty Mining & Metals
CPOO,Culpeo Minerals Limited $0.18 Option Expiring 28-Nov-2024,Specialty Mining & Metals
CPV,Clearvue Technologies Limited Ordinary,Commodity Chemicals
CQE,Charter Hall Social Infrastructure Reit Units,Specialized REITs
CQR,Charter Hall Retail Reit Units,Commercial REITs
CR1,Constellation Resources Limited Ordinary,Specialty Mining & Metals
CPU,Computershare Limited Ordinary,Professional Information Services
CR9,Corella Resources Ltd Ordinary,Construction Materials
CR9O,Corella Resources Ltd $0.06 Option Expiring 27-Apr-2025,Construction Materials
CRD,Conrad Asia Energy Ltd. CDI 1:1,Oil & Gas Exploration and Production
CRB,Carbine Resources Limited Ordinary,Integrated  Mining
CRN,Coronado Global Resources Inc. CDI 10:1,Steel
CRED,BetaShares Australian Investment Grade Corporate Bond ETF,N/A
CRS,Caprice Resources Ltd Ordinary,Integrated  Mining
CRYP,BetaShares Crypto Innovators ETF,N/A
CRR,Critical Resources Limited Ordinary,Integrated  Mining
CSC,Capstone Copper Corp. CDI 1:1 Foreign Exempt TSX,N/A
CSF,Catalano Seafood Ltd Ordinary,Food Retail & Distribution
CSFO,Catalano Seafood Ltd $0.30 Option Expiring 29-Dec-2025,Food Retail & Distribution
CSE,Copper Strike Limited Ordinary,Specialty Mining & Metals
CSL,CSL Limited Ordinary,Pharmaceuticals
CSS,Clean Seas Seafood Limited Ordinary,Fishing & Farming
CSR,CSR Limited Ordinary,Construction Materials
CST,Castile Resources Ltd Ordinary,Integrated  Mining
CSX,Cleanspace Holdings Limited Ordinary,"Medical Equipment, Supplies & Dist'n"
CTD,Corporate Travel Management Limited Ordinary,Leisure & Recreation
CT1,Constellation Technologies Limited Ordinary,IT Services & Consulting
CTM,Centaurus Metals Limited Ordinary,Integrated  Mining
CTE,Cryosite Limited Ordinary,Healthcare Facilities & Services
CTN,Catalina Resources Ltd Ordinary,Integrated  Mining
CTO,Citigold Corporation Limited Ordinary,Gold
CTP,Central Petroleum Limited Ordinary,Oil & Gas Exploration and Production
CTQ,Careteq Limited Ordinary,Healthcare Facilities & Services
CU6,Clarity Pharmaceuticals Ltd Ordinary,Biotechnology & Medical Research
CTT,Cettire Limited Ordinary,Apparel & Accessories Retailers
CUF,Cufe Ltd Ordinary,Integrated  Mining
CUE,Cue Energy Resources Limited Ordinary,Oil & Gas Exploration and Production
CUL,Cullen Resources Limited Ordinary,Integrated  Mining
CUP,Count Limited Ordinary,Personal Services
CURE,Global X S&P Biotech ETF,N/A
CUS,Copper Search Limited Ordinary,Integrated  Mining
CUV,Clinuvel Pharmaceuticals Limited Ordinary,Pharmaceuticals
CVB,Curvebeam AI Limited Ordinary,Advanced Medical Equipment & Technology
CVCHA,CVC Limited Bond 3-Bbsw+4.75% 31-03-2026 CUM Red,Consumer Lending
CVC,CVC Limited Ordinary,Consumer Lending
CVL,Civmec Limited CDI 1:1,Construction & Engineering
CVR,Cavalier Resources Limited Ordinary,Gold
CVN,Carnarvon Energy Limited Ordinary,Oil & Gas Exploration and Production
CVV,Caravel Minerals Limited Ordinary,Integrated  Mining
CVVOB,Caravel Minerals Limited $0.33 Option Expiring 30-Aug-2025,Integrated  Mining
CVW,Clearview Wealth Limited Ordinary,Life & Health Insurance
CWX,Carawine Resources Limited Ordinary,Integrated  Mining
CWP,Cedar Woods Properties Limited Ordinary,"Real Estate Rental, Devel & Operations"
CXL,Calix Limited Ordinary,Commodity Chemicals
CWY,Cleanaway Waste Management Limited Ordinary,Environmental Services & Equipment
CXO,Core Lithium Ltd Ordinary,Integrated  Mining
CXM,Centrex Limited Ordinary,Agricultural Chemicals
CXU,Cauldron Energy Limited Ordinary,Uranium
CXUO,Cauldron Energy Limited $0.01 Option Expiring 30-Dec-2025,Uranium
CXZ,Connexion Mobility Ltd Ordinary,Software
CY5,Cygnus Metals Limited Ordinary,Integrated  Mining
CYC,Cyclopharm Limited Ordinary,Advanced Medical Equipment & Technology
CYG,Coventry Group Limited Ordinary,Steel
CYL,Catalyst Metals Limited Ordinary,Gold
CYPOA,Cynata Therapeutics Limited $0.30 Option Expiring 01-Apr-2025,Biotechnology & Medical Research
CYP,Cynata Therapeutics Limited Ordinary,Biotechnology & Medical Research
CYM,Cyprium Metals Limited Ordinary,Integrated  Mining
CYQ,Cycliq Group Ltd Ordinary,Household Electronics
CZN,Corazon Mining Limited Ordinary,Specialty Mining & Metals
CZR,CZR Resources Ltd Ordinary,Integrated  Mining
D2O,Duxton Water Limited Ordinary,Investment Trusts
D2OOA,Duxton Water Limited $1.92 Option Expiring 10-May-2026,Investment Trusts
DACE,Dimensional Australian Core Equity (Managed Fund) ETF,N/A
DAF,Discovery Alaska Limited Ordinary,Specialty Mining & Metals
DAL,Dalaroo Metals Ltd Ordinary,Specialty Mining & Metals
DAOR,Aoris INT Fund (Class D) (Hedged) (Managed Fund) ETF,N/A
DBF,Duxton Farms Ltd Ordinary,Fishing & Farming
DBI,Dalrymple Bay Infrastructure Limited Ordinary/Notes Stapled Securities,Marine Port Services
DBBF,BetaShares Ethical Diversified Balanced ETF,N/A
DBO,Diablo Resources Limited Ordinary,Gold
DCC,Digitalx Limited Ordinary,Software
DCGPA,Decmil Group Limited Convert Pref 12.00% Semi CUM Step Red T-07-26,Construction & Engineering
DCG,Decmil Group Limited Ordinary,Construction & Engineering
DCL,Domacom Limited Ordinary,Investment Management & Fund Operators
DCX,Discovex Resources Limited Ordinary,Integrated  Mining
DDB,Dynamic Group Holdings Limited Ordinary,Mining Support Services & Equipment
DDT,Datadot Technology Limited Ordinary,Software
DDR,Dicker Data Limited Ordinary,Computer Hardware
DEL,Delorean Corporation Limited Ordinary,Electric Utilities
DEG,De Grey Mining Limited Ordinary,Gold
DES,Desoto Resources Limited Ordinary,Integrated  Mining
DEM,De.MEM Limited Ordinary,Water & Related Utilities
DESO,Desoto Resources Limited $0.25 Option Expiring 23-May-2028,Integrated  Mining
DFGH,Dimensional Global Core EQ AUD HGD (Managed Fund) ETF,N/A
DEV,Devex Resources Limited Ordinary,Integrated  Mining
DGCE,Dimensional Global Core EQ Unhgd (Managed Fund) ETF,N/A
DGGF,BetaShares Ethical Diversified Growth ETF,N/A
DGL,DGL Group Limited Ordinary,Specialty Chemicals
DGH,Desane Group Holdings Limited Ordinary,"Real Estate Rental, Devel & Operations"
DGR,DGR Global Limited Ordinary,Integrated  Mining
DHG,Domain Holdings Australia Limited Ordinary,Online Services
DHHF,BetaShares Diversified ALL Growth ETF,N/A
DJRE,SPDR DJ Global Real Estate ESG Fund ETF,N/A
DHOF,Daintree Hybrid Opportunities Fund (Managed Fund) ETF,N/A
DJW,Djerriwarrh Investments Limited Ordinary,Investment Management & Fund Operators
DKM,Duketon Mining Limited Ordinary,Integrated  Mining
DLI,Delta Lithium Limited Ordinary,Specialty Mining & Metals
DLM,Dominion Minerals Limited Ordinary,Construction Materials
DM1,Desert Metals Limited Ordinary,Integrated  Mining
DM1O,Desert Metals Limited $0.06 Option Expiring 31-Dec-2025,Integrated  Mining
DME,Dome Gold Mines Limited Ordinary,Integrated  Mining
DMC,Design Milk Co Limited Ordinary,Advertising & Marketing
DMG,Dragon Mountain Gold Limited Ordinary,Gold
DMM,DMC Mining Limited Ordinary,Specialty Mining & Metals
DMMO,DMC Mining Limited $0.20 Option Expiring 30-Apr-2026,Specialty Mining & Metals
DMP,Domino's Pizza Enterprises Limited Ordinary,Restaurants & Bars
DNK,Danakali Limited Ordinary,Diversified Chemicals
DNA,Donaco International Limited Ordinary,Casinos & Gaming
DOC,Doctor Care Anywhere Group PLC CDI 1:1,Software
DOR,Doriemus PLC CDI 1:1,Oil & Gas Exploration and Production
DORO,Doriemus PLC $0.12 Option Expiring 01-Sep-2026,Oil & Gas Exploration and Production
DOUO,Douugh Limited $0.04 Option Expiring 31-Aug-2024,Financial Technology (Fintech)
DOU,Douugh Limited Ordinary,Financial Technology (Fintech)
DOW,Downer EDI Limited Ordinary,Construction & Engineering
DRA,DRA Global Limited Ordinary,Construction & Engineering
DRIV,BetaShares Electric Vehicles and FTR Mobility ETF,N/A
DRO,Droneshield Limited Ordinary,Aerospace & Defense
DRE,Dreadnought Resources Ltd Ordinary,Integrated  Mining
DRR,Deterra Royalties Limited Ordinary,Steel
DRUG,BetaShares Global Healthcare ETF - Currency Hedged ETF,N/A
DRX,Diatreme Resources Limited Ordinary,Construction Materials
DSK,Dusk Group Limited Ordinary,Household Products
DSE,Dropsuite Limited Ordinary,IT Services & Consulting
DTC,Damstra Holdings Limited Ordinary,Software
DTI,DTI Group Ltd Ordinary,Communications & Networking
DTL,Data#3 Limited Ordinary,IT Services & Consulting
DTM,Dart Mining NL Ordinary,Integrated  Mining
DTR,Dateline Resources Limited Ordinary,Gold
DTZ,Dotz Nano Limited Ordinary,Electronic Equipment & Parts
DUG,DUG Technology Ltd Ordinary,IT Services & Consulting
DUB,Dubber Corporation Limited Ordinary,Software
DUN,Dundas Minerals Limited Ordinary,Gold
DUI,Diversified United Investment Limited Ordinary,Investment Management & Fund Operators
DVDY,Vaneck Morningstar Australian Moat Income ETF,N/A
DUR,Duratec Limited Ordinary,Construction & Engineering
DVL,Dorsavi Ltd Ordinary,Industrial Machinery & Equipment
DVP,Develop Global Limited Ordinary,Integrated  Mining
DXBO,Dimerix Limited $0.15 Option Expiring 30-Jun-2025,Biotechnology & Medical Research
DXB,Dimerix Limited Ordinary,Biotechnology & Medical Research
DXC,Dexus Convenience Retail Reit Units Stapled Securities,Commercial REITs
DXI,Dexus Industria Reit. Ordinary/Units Stapled Securities,Commercial REITs
DXN,DXN Limited Ordinary,IT Services & Consulting
DXS,Dexus Units Stapled Securities,Commercial REITs
DY6,DY6 Metals Ltd Ordinary,Precious Metals & Minerals
DYM,Dynamic Metals Limited Ordinary,Integrated  Mining
DZZF,BetaShares Ethical Diversified High Growth ETF,N/A
DYL,Deep Yellow Limited Ordinary,Uranium
E200,SPDR S&P/ASX 200 ESG Fund ETF,N/A
E25,Element 25 Limited Ordinary,Integrated  Mining
E33,East 33 Limited. Ordinary,Fishing & Farming
E79,E79 Gold Mines Limited Ordinary,Gold
EAFZ,Ellerston Asia Growth Fund (Hedge Fund) ETF,N/A
EAX,Energy Action Limited Ordinary,Business Support Services
EBND,Vaneck Emerging Inc Opportunities Active ETF (Managed Fund) ETF,N/A
EBG,Eumundi Group Limited Ordinary,"Hotels, Motels & Cruise Lines"
EBO,Ebos Group Limited Ordinary,Pharmaceuticals
EBR,EBR Systems Inc. CDI 1:1 US Person Prohibited,Advanced Medical Equipment & Technology
ECF,Elanor Commercial Property Fund Units Stapled Securities,Commercial REITs
ECG,Ecargo Holdings Limited CDI 1:1,Advertising & Marketing
ECP,ECP Emerging Growth Limited Ordinary,Investment Management & Fund Operators
ECL,Excelsior Capital Ltd Ordinary,Electrical Components & Equipment
ECPGA,ECP Emerging Growth Limited Convert Bond 5.50% 11-04-27 QLY SUB Red T-4-24,Investment Management & Fund Operators
ECS,ECS Botanics Holdings Ltd Ordinary,Healthcare Facilities & Services
EDC,Eildon Capital Group Ordinary/Units Stapled Securities,Real Estate Services
ECT,Environmental Clean Technologies Limited Ordinary,Environmental Services & Equipment
EDE,Eden Innovations Ltd Ordinary,Construction Materials
EDEO,Eden Innovations Ltd $0.05 Option Expiring 07-Oct-2024,Construction Materials
EDEOC,Eden Innovations Ltd $0.03 Option Expiring 28-Apr-2025,Construction Materials
EDEOD,Eden Innovations Ltd $0.01 Option Expiring 11-Sep-2026,Construction Materials
EDOC,BetaShares Digital Health and Telemedicine ETF,N/A
EDV,Endeavour Group Limited Ordinary,Food Retail & Distribution
EDU,EDU Holdings Limited Ordinary,Professional & Business Education
EE1,Earths Energy Limited Ordinary,Electric Utilities
EEG,Empire Energy Group Limited Ordinary,Oil & Gas Exploration and Production
EEL,Enrg Elements Ltd Ordinary,Specialty Mining & Metals
EG1,Evergreen Lithium Limited Ordinary,Uranium
EFE,Eastern Resources Limited Ordinary,Integrated  Mining
EGG,Enero Group Limited Ordinary,Advertising & Marketing
EGH,Eureka Group Holdings Limited Ordinary,Real Estate Services
EGN,Engenco Limited Ordinary,Heavy Machinery & Vehicles
EGL,Environmental Group Limited (The) Ordinary,Environmental Services & Equipment
EGR,Ecograf Limited Ordinary,Specialty Chemicals
EGY,Energy Technologies Limited Ordinary,Electrical Components & Equipment
EGYO,Energy Technologies Limited $0.20 Option Expiring 31-Oct-2024,Electrical Components & Equipment
EHL,Emeco Holdings Limited Ordinary,Business Support Services
EIGA,Perennial Income Generator Fund (Managed Fund) ETF,N/A
EINC,BetaShares Mrtn Currie EQY Inc Fund (Managed Fund) ETF,N/A
EIQ,Echoiq Limited Ordinary,Advanced Medical Equipment & Technology
EL8,Elevate Uranium Ltd Ordinary,Uranium
ELD,Elders Limited Ordinary,Fishing & Farming
ELE,Elmore Ltd Ordinary,Integrated  Mining
ELS,Elsight Limited Ordinary,Software
ELT,Elementos Limited Ordinary,Specialty Mining & Metals
EMB,Embelton Limited Ordinary,Home Improvement Prod&Svcs Retailers
EM2,Eagle Mountain Mining Limited Ordinary,Integrated  Mining
EMD,Emyria Limited Ordinary,Healthcare Facilities & Services
EMC,Everest Metals Corporation Ltd Ordinary,Integrated  Mining
EME,Energy Metals Ltd Ordinary,Uranium
EMKT,Vaneck MSCI Multifactor EM Markets Equity ETF,N/A
EMH,European Metals Holdings Limited CDI 1:1,Specialty Mining & Metals
EMMG,BetaShares Martin Currie EM Fund (Managed Fund) ETF,N/A
EML,EML Payments Limited Ordinary,Business Support Services
EMN,Euro Manganese Inc CDI 1:1,Precious Metals & Minerals
EMP,Emperor Energy Limited Ordinary,Oil & Gas Exploration and Production
EMPO,Emperor Energy Limited $0.05 Option Expiring 16-Dec-2024,Oil & Gas Exploration and Production
EMS,Eastern Metals Limited Ordinary,Specialty Mining & Metals
EMR,Emerald Resources NL Ordinary,Gold
EMTO,Emetals Limited $0.03 Option Expiring 30-Sep-2025,Integrated  Mining
EMT,Emetals Limited Ordinary,Integrated  Mining
EMUDA,Emu NL Ordinary Deferred Settlement,Integrated  Mining
EMUDB,"Emu NL Ordinary Partly PD TO 90c, 90c Unpd Deferred Set",Integrated  Mining
ENL,Enlitic Inc. CDI 1:1 US Prohibited,IT Services & Consulting
EMV,Emvision Medical Devices Ltd Ordinary,Advanced Medical Equipment & Technology
ENN,Elanor Investors Group Ordinary/Units Stapled Securities,"Hotels, Motels & Cruise Lines"
ENR,Encounter Resources Limited Ordinary,Integrated  Mining
